symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JNJ,2019-01-08 00:00:00+00:00,129.96,130.5,127.73,128.18,9351570,113.5196295303,113.9913177416,111.5717319168,111.9648054262,9351570,0.0,1.0
JNJ,2019-01-09 00:00:00+00:00,128.93,130.24,128.33,129.83,7403525,112.619927942,113.7642086028,112.0958299294,113.4060749609,7403525,0.0,1.0
JNJ,2019-01-10 00:00:00+00:00,129.71,129.89,127.69,127.69,6224419,113.3012553584,113.4584847621,111.5367920493,111.5367920493,6224419,0.0,1.0
JNJ,2019-01-11 00:00:00+00:00,129.75,129.84,128.31,129.0,5300666,113.3361952259,113.4148099278,112.0783599956,112.6810727101,5300666,0.0,1.0
JNJ,2019-01-14 00:00:00+00:00,128.28,128.96,127.59,128.74,7374457,112.052155095,112.6461328426,111.4494423805,112.4539635713,7374457,0.0,1.0
JNJ,2019-01-15 00:00:00+00:00,129.36,129.49,127.65,128.52,5194405,112.9955315177,113.1090860871,111.5018521818,112.2617943,5194405,0.0,1.0
JNJ,2019-01-16 00:00:00+00:00,128.04,129.41,127.9,129.41,6264150,111.8425158899,113.0392063521,111.7202263537,113.0392063521,6264150,0.0,1.0
JNJ,2019-01-17 00:00:00+00:00,129.09,129.52,127.46,127.71,7631960,112.759687412,113.1352909877,111.3358878111,111.554261983,7631960,0.0,1.0
JNJ,2019-01-18 00:00:00+00:00,130.69,131.18,129.45,129.9,10592972,114.1572821123,114.5852954892,113.0741462196,113.467219729,10592972,0.0,1.0
JNJ,2019-01-22 00:00:00+00:00,128.8,129.5,127.01,128.2,10568128,112.5063733726,113.117821054,110.9428143016,111.98227536,10568128,0.0,1.0
JNJ,2019-01-23 00:00:00+00:00,128.8,129.3,127.93,128.5,9267966,112.5063733726,112.9431217164,111.7464312543,112.2443243663,9267966,0.0,1.0
JNJ,2019-01-24 00:00:00+00:00,127.03,128.7,125.0,128.49,9917100,110.9602842354,112.4190237038,109.1870859594,112.2355893994,9917100,0.0,1.0
JNJ,2019-01-25 00:00:00+00:00,128.23,128.45,127.03,128.13,7585947,112.0084802606,112.2006495319,110.9602842354,111.9211305918,7585947,0.0,1.0
JNJ,2019-01-28 00:00:00+00:00,128.99,129.15,127.29,127.81,6927661,112.6723377432,112.8120972133,111.1873933742,111.6416116518,6927661,0.0,1.0
JNJ,2019-01-29 00:00:00+00:00,130.33,130.47,128.5,128.95,6669289,113.8428233047,113.965112841,112.2443243663,112.6373978757,6669289,0.0,1.0
JNJ,2019-01-30 00:00:00+00:00,131.64,132.19,130.3,130.37,7299455,114.9871039656,115.4675271438,113.8166184041,113.8777631722,7299455,0.0,1.0
JNJ,2019-01-31 00:00:00+00:00,133.08,135.19,130.87,131.63,17298062,116.2449391958,118.0880172068,114.3145115161,114.9783689987,17298062,0.0,1.0
JNJ,2019-02-01 00:00:00+00:00,134.2,134.69,133.47,134.02,9575150,117.223255486,117.651268863,116.585602904,117.0660260822,9575150,0.0,1.0
JNJ,2019-02-04 00:00:00+00:00,132.88,134.15,132.21,133.96,7759043,116.0702398583,117.1795806516,115.4849970776,117.013616281,7759043,0.0,1.0
JNJ,2019-02-05 00:00:00+00:00,132.88,133.88,132.75,133.52,6449787,116.0702398583,116.943736546,115.9566852889,116.6292777384,6449787,0.0,1.0
JNJ,2019-02-06 00:00:00+00:00,133.0,133.57,132.3,133.08,5066324,116.1750594608,116.6729525728,115.5636117794,116.2449391958,5066324,0.0,1.0
JNJ,2019-02-07 00:00:00+00:00,132.05,132.64,131.53,132.45,6085346,115.3452376075,115.8606006533,114.8910193299,115.6946362826,6085346,0.0,1.0
JNJ,2019-02-08 00:00:00+00:00,132.4,132.46,131.54,131.95,4436768,115.6509614482,115.7033712495,114.8997542968,115.2578879388,4436768,0.0,1.0
JNJ,2019-02-11 00:00:00+00:00,132.0,132.67,131.26,132.31,4962617,115.3015627731,115.8868055539,114.6551752243,115.5723467463,4962617,0.0,1.0
JNJ,2019-02-12 00:00:00+00:00,134.16,134.3,132.08,132.08,6262320,117.1883156185,117.3106051548,115.3714425082,115.3714425082,6262320,0.0,1.0
JNJ,2019-02-13 00:00:00+00:00,134.45,134.98,133.21,134.07,7902181,117.4416296579,117.9045829024,116.3584937652,117.1097009166,7902181,0.0,1.0
JNJ,2019-02-14 00:00:00+00:00,134.31,134.82,133.35,134.3,3910454,117.3193401217,117.7648234324,116.4807833015,117.3106051548,3910454,0.0,1.0
JNJ,2019-02-15 00:00:00+00:00,136.38,136.41,135.01,135.19,6665038,119.1274782652,119.1536831658,117.930787803,118.0880172068,6665038,0.0,1.0
JNJ,2019-02-19 00:00:00+00:00,135.69,136.38,135.63,136.14,5935948,118.5247655507,119.1274782652,118.4723557494,118.9178390601,5935948,0.0,1.0
JNJ,2019-02-20 00:00:00+00:00,136.35,136.73,135.73,135.97,6089752,119.1012733645,119.4332021058,118.5597054182,118.7693446232,6089752,0.0,1.0
JNJ,2019-02-21 00:00:00+00:00,135.42,135.7875,134.2688,134.98,6665481,118.288921445,118.6099314777,117.2833520581,117.9045829024,6665481,0.0,1.0
JNJ,2019-02-22 00:00:00+00:00,136.6,136.64,134.82,135.29,5223858,119.3196475364,119.354587404,117.7648234324,118.1753668756,5223858,0.0,1.0
JNJ,2019-02-25 00:00:00+00:00,136.2,137.49,135.86,136.35,6846581,119.7563958803,120.8906524932,119.4574445249,119.8882861841,6846581,0.9,1.0
